isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
MKD,yr1958,,,,,,,,,,,,
MKD,yr1959,,,,,,,,,,,,
MKD,yr1960,,,,,,,,,,,,
MKD,yr1961,,,,,,,,,,,,
MKD,yr1962,,,,,,,,,,,,
MKD,yr1963,,,,,,,,,,,,
MKD,yr1964,,,,,,,,,,,,
MKD,yr1965,,,,,,,,,,,,
MKD,yr1966,,,,,,,,,,,,
MKD,yr1967,,,,,,,,,,,,1557000
MKD,yr1968,,,,,,,,,,,,1581000
MKD,yr1969,,,,,,,,,,,,1606000
MKD,yr1970,,,,,,,,,,,,1630000
MKD,yr1971,,,,,,,,,,,,1653000
MKD,yr1972,,,,,,,,,,,,1677000
MKD,yr1973,,,,,,,,,,,,1703000
MKD,yr1974,,,,,,,,,,,,1729000
MKD,yr1975,,,,,,,,,,,,1755000
MKD,yr1976,,,,,,,,,,,,1782000
MKD,yr1977,,,,,,,,,,,,1809000
MKD,yr1978,,,,,,,,,,,,1835000
MKD,yr1979,,,,,,,,,,,,1863000
MKD,yr1980,,,,,,,,,,,,1889000
MKD,yr1981,,,,,,,,,,,,1916000
MKD,yr1982,,,,,,,,,,,,1928000
MKD,yr1983,,,,,,,,,,,,1942000
MKD,yr1984,,,,,,,,,,,,1956000
MKD,yr1985,,,,,,,,,,,,1969000
MKD,yr1986,,,,,,,,,,,,1982000
MKD,yr1987,,,,,,,,,,,,1995000
MKD,yr1988,,,,,,,,,,,,2007000
MKD,yr1989,,,,,,,,,,,,1998000
MKD,yr1990,,,,,,366000000,96000000,94000000,135000000,185000000,0.253,1903000
MKD,yr1991,,,,,,583000000,199000000,163000000,236000000,276000000,0.424,1916000
MKD,yr1992,87741997056,27996000256,33454000128,55700000768,38532001792,8996999168,2302000128,1840000000,6408999936,6291999744,6.081,1925000
MKD,yr1993,128000000000,33891305472,28744564736,75163041792,87934779392,47182000128,12472000512,10577999872,27659999232,32359999488,35.354,1933000
MKD,yr1994,124000000000,29507549184,22623692800,64947736576,82318237696,106000000000,25405999104,19478999040,55920001024,70875996160,43.26317978,1947000
MKD,yr1995,122000000000,32100917248,35870539776,57044852736,73905201152,119000000000,31491000320,35188998144,55961001984,72501002240,37.88175964,1966000
MKD,yr1996,127000000000,31985000448,35443998720,49721999360,67960999936,127000000000,31985000448,35443998720,49721999360,67960999936,39.9810791,1980000
